state,population
AL,4903185.00
AK,731545.00
AZ,7278717.00
AR,3017804.00
CA,39512223.00
CO,5758736.00
CT,3565287.00
DE,973764.00
DC,705749.00
FL,21477737.00
GA,10617423.00
HI,1415872.00
ID,1787065.00
IL,12671821.00
IN,6732219.00
IA,3155070.00
KS,2913314.00
KY,4467673.00
LA,4648794.00
ME,1344212.00
MD,6045680.00
MA,6892503.00
MI,9986857.00
MN,5639632.00
MS,2976149.00
MO,6137428.00
MT,1068778.00
NE,1934408.00
NV,3080156.00
NH,1359711.00
NJ,8882190.00
NM,2096829.00
NY,19453561.00
NC,10488084.00
ND,762062.00
OH,11689100.00
OK,3956971.00
OR,4217737.00
PA,12801989.00
RI,1059361.00
SC,5148714.00
SD,884659.00
TN,6829174.00
TX,28995881.00
UT,3205958.00
VT,623989.00
VA,8535519.00
WA,7614893.00
WV,1792147.00
WI,5822434.00
WY,578759.00